lang_id	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
30	Abnormal Mammogram	Patologisk mammografi	Mamografía anormal	Mamografía anormal	auffälliges Mammogramm	Abnormaal mammogram		Mammographie Anormale	Mammographie Anormale		不正常乳房的X光照		Патология маммограммы			Mammogram Abnormal	Παθολογική μαστογραφία		Mamografia Anormal	Mamografia anormal	تصوير ثدي غير طبيعي	Onormalt mammogram	Anormal Mamografi filmi	Nieprawidłowy mammogram		Mammogramma anormale	असामान्य मेम्मोग्राम		dummy
31	Abortion	Abort	Aborto	Aborto	Abort	Abortus		Avortement	Avortement		堕胎		Аборт			Aborsi	Άμβλωση		Aborto	Aborto	اجهاض	Abort	Düşük	Aborcja		Aborto	गर्भपात		dummy
32	Abortion Issues	Abortrelaterad problematik	Problemas del Aborto	Problemas del Aborto	Verhaltener Abort	Abortusproblematiek		Problème médical relatif à l\'avortement	Problème médical relatif à l\'avortement	Avsluttelses vansker	堕胎问题		Аспекты аборта			Isu aborsi	Θέματα άμβλωσης		Casos de Aborto	Questões do Aborto	مسائل الإجهاض	Abortproblematik	Düşük Konuları			Problemi di aborto	गर्भपात संबंधित समस्याएं		dummy
33	Abortion Method	Abortmetod 	Método de Aborto	Método de Aborto	Abtreibungsmethode	Abortusmethode		Méthode d\'avortement	Méthode d\'avortement	Avsluttelses metoder	堕胎方式		Метод аборта			Metode aborsi	Μέθοδος άμβλωσης		Método de Aborto	O método do aborto	طريقة الإجهاض	Abortmetod 	Düşük Yöntemi	Metoda aborcji		Metodo abortivo	गर्भपात विधि		dummy
34	Abortion-Related Categories	Abortrelaterade kategorier	Categorías relacionadas al Aborto	Categorías relacionadas al Aborto	Abtreibung-Kategorien	Abortus gerelateerde categorieen		Catégories relative à l\'avortement	Catégories relative à l\'avortement		与堕胎有关的分类		Категории,подпадающие под аборт			Kategori yang Berhubungan dengan Aborsi	Θέματα σχετικά με την άμβλωση		Categorias Relacionadas com Aborto	Categorias Relacionadas ao Aborto	الفئات المتعلقة بالإجهاض	Abortrelaterade kategorier	Düşük ile İlgili Kategoriler			Categorie relate ad aborto	गर्भपात संबंधी श्रेणियाँ		dummy
35	Abortions	Aborter	Abortos	Abortos	Abtreibungen	Abortussen		Avortements	Avortements		堕胎		Аборты			Aborsi	Αμβλώσεις		Abortos	Abortos	اجهاضات	Aborter	Düşükler			Aborti	गर्भपात		dummy
36	About the calendar	Om kalendern	Acerca del calendario	Acerca del calendario	Über den Kalender	Over de kalender		A propos du calendrier	A propos du calendrier				Согласно календарю			Mengenai Kalendar	Περί του ημερολογίου		Sobre o calendário	Sobre o calendário	عن المفكرة	Om kalenderen	Takvim Hakkında			Informazioni calendario	कैलेंडर के बारे में		dummy
37	Absences by Diagnosis	Frånvaro av Diagnos 	Carencias por Diagnósticos	Carencias por Diagnósticos	Fehlen der Diagnose	Diagnose met absences		Absence de diagnostique	Absence de diagnostique		缺勤的诊断		Отсутствие диагноза			Absen oleh Diagnosis	Απουσίες ανά διάγνωση		Ausências por Diagnóstico	Ausências por Diagnóstico	غياب بالتشخيص	Fraværende diagnose	Tanıya göre Devamsızlıklar			Assenze per diagnosi	डायग्नोसिस द्वारा absences		dummy
38	Accept Assignment	Acceptera uppdrag 	Aceptar la tarea	Aceptar la tarea	Überweisung zustimmen	Aanstelling accepteren		Accepter l\'affectation	Accepter l\'affectation	Akseptere Job	接受指派		Принять назначение			Terima Penugasan	Αποδοχή ανάθεσης		Aceitar Tarefa	Aceitar Tarefa	قبول المهمة	Acceptér opgaven	Görevi Kabul			Accetta compito	आवंटित कार्य स्वीकार करें 		dummy
39	Accept Payment for 	acceptera betalning för 	Aceptar Pago por	Aceptar Pago por	Bezahlung akzeptieren für	Accepteer betaling voor		Accepter le Paiement pour	Accepter le Paiement pour	Akseptere penger for	接受付款		Принять оплату за			Menerima Pembayaran	Αποδοχή πληρωμής για		Aceite Pagamento para	Aceita pagamento para	قبول الدفع ل	Acceptér betaling for 	İçin Ödeme Kabul			Accetta pagamento per			dummy
40	Accepts Assignment	Accepterar uppdrag 	Acepta la tarea	Acepta la tarea	Überweisung zugestimmt	Accepteert opdracht		Accepte l\'affectation	Accepte l\'affectation	Akseptere job	接受指派		Принимать назначение			Menerima Penugasan	Αποδέχεται την ανάθεση		Aceita Tarefa	Aceita Tarefa	قبول المهمة	Accepterer opgaven 	Görevi Kabul Eder			Accetta compiti			dummy
41	Access Control	Åtkomstkontroll 	Control de acceso	Control de acceso	acept controlle	Bevoegd als		Contrôle d\'accès	Contrôle d\'accès	Tilgangs kontroll	访问控制		Управление конролем			Kontrol Akses	Έλεγχος Πρόσβασης 		Controlo de Acesso	Controle de Acesso	تحكم الوصول	Adgangskontrol	Erişim Kontrolü			Controllo d\'accesso			dummy
42	Access Control List Administration	Lista för accesskontroll	Lista de Administración de Control de Acceso	Lista de Administración de Control de Acceso	Verwaltung der Zugriffskontrolllisten	Toegangscontrolelijsten administratie		Liste de contrôle d\'accès administratif	Liste de contrôle d\'accès administratif		访问控制列表管理		Управление списком контроля доступа (ACL) 			Administrasi Daftar Kontrol Akses	Διαχείριση δικαιωμάτων πρόσβασης		Controlo de Acesso Lista de Administração	Controle de Acesso da Lista de Administração	ادارة قائمة التحكم بالوصول	Administration af adgangskontrolliste	Erişim Kontrolü Listesi Yönetimi			Amministrazione elenchi dei controlli d\'accesso			dummy
43	Access Your Patient Portal	Tillgång till portalen för din patient	Acceder al Portal del Paciente	Acceder al Portal del Paciente	Zu Patientenportal Zugriff	Naar eigen Patienten toegang		Accédez à votre Portail Patients	Accédez à votre Portail Patients								Εισαγωγή στο Portal του ασθενούς σας 		Acesso ao Portal do Cliente	Acesse o Portal do Paciente		Gå til patientregister	Hasta Kaydı Erişiminiz			Accedi al Portale del Paziente			dummy
44	Account Name		Nombre de la Cuenta	Nombre de la Cuenta	Benützername	Account naam		Nom du Compte	Nom du Compte				Имя учетной записи						Nome da Conta	Nome da Conta			Hesap Adı			Nome dell\'account			dummy
45	Accounting	Redovisning	Contabilidad	Contabilidad	Abrechnung	Boekhouding		Comptabilité	Comptabilité		会计学；会计		Учёт			Akuntansi	Λογιστές		Contabilidade	Contabilidade	المحاسبة	Regnskab	Muhasebe			Definizione dell\'account			dummy
46	Aches	värker	Dolores	Dolores	Beschwerden	Pijn		Douleurs	Douleurs		疼痛		Боли			Sakit	Άλγη		Dores	Dores	آلام	Kløe	Ağrıları			Dolori			dummy
47	Acknowledgment Requested (ISA14)	Begäran för tillgodokännande	Solicitud de agradecimiento (ISA14)	Solicitud de agradecimiento (ISA14)	Bestätigung angefordert (ISA14)	Erkenning gevraagde (ISA14)		Acquittement demandé (ISA14)	Acquittement demandé (ISA14)				Запрошено признание			Pengakuan Permintaan	Έγινε αίτηση για επιβεβαίωση παραλαβής (ISA14)		Verificacao pedida (ISA14)	Solicitação de Requisição	طلبت شكر وعرفان	Bekræftelse er nødvendig (ISA14)	Alındı İsteniyor (ISA14)						dummy
48	ACL	ACL 	ACL	ACL	Zugangskontrollliste	ACL		ACL	ACL		前交叉韧带		УСКД			ACL	Δικαιώμ. Πρόσβ.		ACL	Acesso	قائمة التحكم بالوصول	ACL 	EKL			ACL			dummy
49	ACL Administration	ACL Administration	Administración del ACL	Administración del ACL	Verwaltung der Zugangskontrollliste	ACL administratie		ACL d\'Administration	ACL d\'Administration				УСКД Администрирование			Administrasi ACL	Διαχείριση ΔΠ		Administração ACL	Administração de Acesso	ادارة قائمة التحكم بالوصول	ACL Administration	EKL Yönetimi			Amministrazione ACL			dummy
50	ACL Administration Not Authorized	ACL Ej behörig för administration 	Administración de ACL no autorizada	Administración de ACL no autorizada	Zugriff auf Zugangskontrollliste verweigert	ACL-administratie. Niet toegestaan		ACL d\'Administration Non Autorisée	ACL d\'Administration Non Autorisée		政府没有授权的ACL		УСКД управление не разрешено.			Administrasi ACL Tidak Disetujui	Δεν έχετε δικαίωμα να αλλάξετε τα δικαιώματα πρόσβασης	ACL Administration Not Authorised	Administração ACL Não Autorizada	Administração de Acesso Não Autorizada	ادارة قائمة التحكم بالوصول غير مسموحة	ACL Administration ikke tilladt	EKL Yönetimine İzin Verilmiyor			Amministrazione ACL non autorizzata			dummy
51	Acne	Acne	Acné	Acné	Akne	Acne		Acné	Acné		粉刺		Боль			Jerawat	Ακμή		Acne	Acne	العد	Acne	Akne			Acne			dummy
52	Act	Akt	Acta	Acta	Behandlung	Act		Acte	Acte		行为		Контракт			Tindakan	Ενέργεια		Procedimento	Procedimento	الحدث	Akt	Resmi yazı			Atv			dummy
53	Act Date	aktivitetsdatum 	Fecha de Acta	Fecha de Acta	Behandlungsdatum	Act datum		Date d\'Acte	Date d\'Acte		法日期		Дата подписания контракта			Tanggal tindakan	Ημερομ. ενεργοποίησης		Data do Procedimento	Data do Procedimento	تاريخ الحدوث	aktivitetsdato	Resmi yazı tarihi			Data Atv			dummy
54	Action	Aktivitetsdatum 	Accion	Accion	Aktion	Actie		Action	Action				Действие				Ενέργεια		Ação	Ação		handling	Eylem			Azione			dummy
55	Actions	Aktiviteter	Acciones	Acciones	Aktion	Acties		Actions	Actions				Действия				Ενέργειες		Ações	Ações		Handlinger	Eylemler			Azioni			dummy
56	Activate CCR/CCD Reporting	Aktiv CCR/CCD rapportering	Activar Reportes CCR/CCD	Activar Reportes CCR/CCD	CCR/CCD Bericht aktivieren	Activeren van CCR/CCD rapportage 		Activer le Rapport CCR/CCD	Activer le Rapport CCR/CCD							Mengaktifkan Pelaporan CCR/CCD	Ενεργοποίηση Αναφοράς CCR/CCD			Ativar CCR/Relatório CCD			CCR/CCD raporlamayı etkinleştir			Attiva resoconti CCR/CCD			dummy
57	Active	Aktiva 	Activo	Activo	Aktiv	Actief		Effective	Effective	Aktiv	活跃		Активный			Aktif	Ενεργό		Activo	Ativo	فعال	Aktiv	Aktif			Attivo			dummy
58	Active Alert	Aktiv påminnelse	Alerta de Activo	Alerta de Activo	Alarm aktivieren	Actief alarm		Alerte Active	Alerte Active								Ενεργή ειδοποίηση		Alerta Ativo	Alerta Ativo		Aktiv alarm	Etkin Uyarı			Allarme attivo			dummy
59	Active Alert Rules	Regler för aktiv påminnelse	Reglas de Alerta de Activo	Reglas de Alerta de Activo	Regeln für aktives Alarm	Regels voor actief alarm		Règles d\'Alerte Actives	Règles d\'Alerte Actives								Κανόνας ενεργούς ειδοποίησης		Regras de Alerta Ativas	Regras de Alerta Ativo		Aktiv alarm regler	Etkin Uyarı Kralları			Regole di attivazione allarme			dummy
60	Active Alerts/Reminders	Aktiv alarm	Recordatorio de Alerta de Activo	Recordatorio de Alerta de Activo	Aktive Alarme/Erinerungen	Actief Alert/Herinneringen		Alertes Actives/Rappels	Alertes Actives/Rappels										Alertas/Lembranças Ativas	Alertas Ativos/Lembretes		Aktive alarmer/påmindelser	Etkin Uyarılar/Anımsatıcılar			Promemoria/Allarme attivi			dummy
61	Active Encounter	Aktivt ärende 	Encuentro Activo	Encuentro Activo	Ausgewählter Fall	Actief contact		Rencontre active	Rencontre active	Aktivt møte	积极接触		Активная встреча 			Konsultasi Hari Ini	Ενεργός Επίσκεψη		Consulta Ativa	Consulta Ativa	الموعد الفعال	Aktiv aftale	Aktif görüşme			Incontro attivo			dummy
62	Active lists	Aktiva listor	Listas Activas	Listas Activas	Ausgewählte Liste	Actieve lijst		Listes actives	Listes actives				Активные списки			Daftar yang Aktif	Ενεργοί κατάλογοι		Listas activas	Listas ativas	القوائم الفعالة	Aktive lister	Aktif listeler			Elenchi attivi			dummy
63	Active Patient	Aktiv patient 	Paciente Activo	Paciente Activo	Ausgewählter Patient	Client in focus:		Patient actif	Patient actif	Aktiv pasient	积极病人		Активный пациент			Pasien yang aktif	Ενεργός Ασθενής		Utente Activo	Paciente Ativo	المريض الفعال	Aktiv patient 	Aktif Hasta			Paziente attivo			dummy
64	Active Plans	Aktuella planeringar	Planes Activos	Planes Activos	Aktive Planungen	Actieve plannen		Régimes Actives	Régimes Actives								Ενεργό πλάνο		Planos Ativos	Planos Ativos		Aktive planer	Aktif Planlar			Piani attivi			dummy
65	Activity	Aktiviteter	Actividad	Actividad	Aktivität	Activiteit		Activité	Activité				Активность			Kegiatan	Δραστηριότητα		Actividade	Atividade	فعالية	Aktivitet	Aktivite			Attività			dummy
